Date,AAPL,ACN,AMZN,APTV,BAC,C,CMCSA,COST,CTSH,CVS,DG,DIS,DRI,DXC,F,FDX,GE,GM,GOOGL,HCA,HD,HLT,IBM,INTC,JPM,KR,LOW,MAR,MSFT,ORCL,PEP,SBUX,T,TGT,TJX,UNH,UPS,WBA,WFC,WMT
2021-01-01,129.504638671875,230.32693481445312,160.30999755859375,133.60000610351562,27.376787185668945,51.21979522705078,45.442832946777344,336.1238098144531,74.20723724365234,64.97370147705078,187.24147033691406,167.6237030029297,104.80887603759766,28.200000762939453,8.941049575805664,222.20016479492188,52.444068908691406,49.77000427246094,91.36799621582031,157.66770935058594,250.2653350830078,100.56688690185547,97.51777648925781,50.70589828491211,116.75028228759766,32.178077697753906,156.64413452148438,114.14739990234375,225.4764404296875,57.21554183959961,124.67756652832031,90.56830596923828,16.594364166259766,168.2816925048828,60.82793045043945,318.72149658203125,139.6905059814453,42.67264175415039,27.733110427856445,44.549991607666016
2021-02-01,119.0037612915039,239.69288635253906,154.64649963378906,149.83999633789062,32.04884719848633,58.684661865234375,48.55165100097656,315.6853332519531,69.9518814086914,62.194942474365234,182.14605712890625,188.42588806152344,123.51432037353516,25.219999313354492,9.93449878692627,240.2904052734375,61.57758331298828,50.40833282470703,101.09549713134766,166.93484497070312,238.73255920410156,122.67593383789062,97.37040710449219,55.51980972290039,134.4981689453125,30.04219627380371,150.50547790527344,145.31689453125,225.88470458984375,61.3122444152832,117.9402084350586,101.06491088867188,16.546316146850586,170.39019775390625,62.68013000488281,317.4219970703125,142.2410430908203,40.702491760253906,33.571170806884766,41.19819641113281
2021-03-01,120.05631256103516,263.9105529785156,154.70399475097656,137.89999389648438,35.72371292114258,64.8043212890625,49.831756591796875,336.8353576660156,74.6043472290039,68.67646026611328,195.28248596191406,183.92059326171875,127.71451568603516,31.260000228881836,10.401505470275879,268.1810607910156,64.47477722167969,56.42825698852539,103.1259994506836,182.76177978515625,282.0821533203125,119.93833923339844,110.56061553955078,58.81599426269531,139.12246704101562,33.74854278564453,179.17453002929688,145.35614013671875,229.70777893066406,66.6916732788086,129.1326141357422,102.66017150878906,17.958301544189453,184.63526916503906,63.06975555419922,355.4970703125,154.16993713378906,47.0659065246582,36.377567291259766,43.0722770690918
2021-04-01,129.20675659179688,277.0177001953125,173.37100219726562,143.88999938964844,37.60850524902344,63.4592399597168,51.71045684814453,355.574951171875,76.78172302246094,69.74452209472656,206.9732208251953,185.41571044921875,131.95968627929688,32.90999984741211,9.7986421585083,274.8146667480469,64.48522186279297,56.19257354736328,117.67500305175781,195.59451293945312,300.9784240722656,127.65516662597656,117.7122573852539,52.87006378173828,140.56642150878906,34.2642822265625,184.89329528808594,145.75852966308594,245.69583129882812,72.03308868408203,132.65750122070312,107.56439971923828,18.634626388549805,193.2019500732422,67.69390106201172,382.39007568359375,184.8878631591797,45.52275848388672,41.945465087890625,44.551307678222656
2021-05-01,122.47415924072266,270.3907775878906,161.15350341796875,150.4199981689453,39.334442138671875,70.60101318359375,53.04838562011719,362.2548828125,68.33953857421875,79.42768096923828,196.01693725585938,178.06964111328125,129.60328674316406,37.91999816894531,12.337459564208984,298.0069885253906,69.10533905029297,58.24504852294922,117.84249877929688,208.95130920410156,296.5521240234375,124.25302124023438,119.25542449951172,52.49327087402344,150.98243713378906,34.6768798828125,184.09689331054688,140.9103546142578,243.26011657714844,75.16065979003906,136.13587951660156,106.99129486083984,17.85744857788086,211.5284423828125,64.39502716064453,394.97021484375,194.62835693359375,45.14555740356445,43.50037384033203,45.226375579833984
2021-06-01,134.8411102294922,282.4940185546875,172.00799560546875,157.3300018310547,38.258056640625,63.461097717285156,52.75232696533203,378.918212890625,66.36750030517578,76.67106628417969,208.98748779296875,175.1990203857422,132.10072326660156,38.939998626708984,12.61766242980957,282.4066162109375,66.15631866455078,58.1075553894043,122.0895004272461,201.1201171875,296.5335388183594,119.6407699584961,122.97886657714844,51.91041564941406,142.98468017578125,36.101444244384766,183.28428649902344,133.98162841796875,264.5439453125,74.30156707763672,136.34754943847656,105.46449279785156,17.463041305541992,226.07521057128906,64.5135498046875,383.9625549316406,189.51890563964844,45.49111557006836,42.26091766357422,45.08110809326172
2021-07-01,143.6034393310547,304.42919921875,166.37950134277344,166.85000610351562,35.744773864746094,60.65354537963867,54.42687225341797,411.52667236328125,70.45916748046875,75.67866516113281,224.6815948486328,175.4481964111328,132.00115966796875,39.97999954223633,11.844978332519531,265.66375732421875,63.710357666015625,55.81939697265625,134.72650146484375,242.011962890625,306.7818603515625,130.3828582763672,118.25568389892578,49.6727409362793,139.5281982421875,38.353668212890625,182.07479858398438,143.2657470703125,278.22528076171875,83.17879486083984,145.48211669921875,114.53852081298828,17.02009391784668,244.13389587402344,65.8436279296875,396.70550537109375,174.382568359375,40.769927978515625,42.86743927001953,45.57021713256836
2021-08-01,149.48106384277344,323.43218994140625,173.5395050048828,152.19000244140625,38.903656005859375,64.98322296142578,56.37967300415039,437.0233154296875,73.12306213378906,79.86250305175781,215.7003936767578,180.71104431152344,137.33262634277344,36.720001220703125,11.06380558013916,252.1314239501953,64.82344818115234,48.129981994628906,144.69749450683594,246.6727752685547,304.9029541015625,123.84635925292969,117.73554992675781,49.987117767333984,147.8860321044922,43.376399993896484,193.46009826660156,132.62730407714844,294.797119140625,85.39217376708984,144.96302795410156,110.8221206665039,17.043424606323242,230.97567749023438,69.58505249023438,400.6030578613281,178.27374267578125,43.88279342651367,42.64349365234375,47.34443283081055
2021-09-01,139.51962280273438,307.44122314453125,164.2519989013672,148.97000122070312,39.555931091308594,63.41986083984375,51.96629333496094,431.13232421875,71.33406066894531,78.44811248779297,205.27867126464844,168.62045288085938,138.08013916015625,33.61000061035156,12.02329158782959,208.0992889404297,63.35983657836914,51.7635498046875,133.67599487304688,236.6685791015625,306.8472900390625,131.0374755859375,117.89450073242188,49.586029052734375,151.34393310546875,38.28620910644531,192.4827880859375,145.3365020751953,275.8324890136719,83.4760513305664,139.41998291015625,104.4534683227539,16.788585662841797,214.67990112304688,63.36627960205078,376.0339660644531,166.82093811035156,41.084075927734375,43.49449920654297,44.720794677734375
2021-10-01,147.7034454345703,344.7950439453125,168.6215057373047,172.88999938964844,44.750709533691406,62.498104095458984,47.78520202636719,471.6117248535156,75.06368255615234,82.53414154052734,214.35531616210938,168.52078247070312,131.39810180664062,32.56999969482422,14.502668380737305,224.14268493652344,64.55420684814453,53.452674865722656,148.04600524902344,244.67681884765625,349.2577819824219,142.7813720703125,106.15851593017578,45.6027717590332,157.07632446289062,37.89794158935547,221.85906982421875,157.04469299316406,324.4592590332031,91.91658782958984,150.81907653808594,100.4385757446289,15.700841903686523,243.62985229492188,62.89569091796875,444.69500732421875,195.55885314941406,41.05788803100586,47.94609832763672,47.94218063354492
